駅名,乗降客数,路線名,事業者名,lat,lon,都道府県
茅場町,94538.0,5号線東西線,東京地下鉄,35.679921,139.780066,東京都
茗荷谷,64833.0,4号線丸ノ内線,東京地下鉄,35.716805,139.737235,東京都
荏原中延,11760.0,池上線,東急電鉄,35.609927,139.711964,東京都
荏原町,14501.0,大井町線,東急電鉄,35.603761,139.707827,東京都
荒川一中前,699.0,荒川線,東京都,35.733777,139.787897,東京都
荒川七丁目,473.0,荒川線,東京都,35.741832,139.784286,東京都
荒川二丁目,845.0,荒川線,東京都,35.73872,139.784564,東京都
荒川区役所前,1689.0,荒川線,東京都,35.735166,139.786231,東京都
荒川車庫前,3350.0,荒川線,東京都,35.750997,139.752622,東京都
荒川遊園地前,2207.0,荒川線,東京都,35.750719,139.757899,東京都
荻窪,152460.0,中央線,東日本旅客鉄道,35.704611,139.619968,東京都
菊川,21160.0,10号線新宿線,東京都,35.688337,139.806093,東京都
萩山,8643.0,拝島線,西武鉄道,35.740409,139.47745,東京都
落合,23076.0,5号線東西線,東京地下鉄,35.710722,139.686073,東京都
落合南長崎,17454.0,12号線大江戸線,東京都,35.722943,139.68374,東京都
葛西,89311.0,5号線東西線,東京地下鉄,35.663591,139.872143,東京都
葛西臨海公園,25120.0,京葉線,東日本旅客鉄道,35.644399,139.861617,東京都
蒲田,227292.0,東海道線,東日本旅客鉄道,35.562155,139.71555,東京都
蓮根,17632.0,6号線三田線,東京都,35.784048,139.679015,東京都
蓮沼,7508.0,池上線,東急電鉄,35.564349,139.708467,東京都
蔵前,33542.0,1号線浅草線,東京都,35.704475,139.792065,東京都
虎ノ門,80864.0,3号線銀座線,東京地下鉄,35.670172,139.750098,東京都
表参道,154173.0,3号線銀座線,東京地下鉄,35.66545,139.712074,東京都
西八王子,55998.0,中央線,東日本旅客鉄道,35.656498,139.31244,東京都
西台,22647.0,6号線三田線,東京都,35.786908,139.673543,東京都
西国分寺,50840.0,中央線,東日本旅客鉄道,35.699775,139.465704,東京都
西国立,17884.0,南武線,東日本旅客鉄道,35.693469,139.424235,東京都
西大井,31864.0,東海道線,東日本旅客鉄道,35.601789,139.721825,東京都
西大島,24873.0,10号線新宿線,東京都,35.68931,139.826285,東京都
西太子堂,734.0,世田谷線,東急電鉄,35.644645,139.666245,東京都
西小山,29454.0,目黒線,東急電鉄,35.615676,139.698883,東京都
西巣鴨,26467.0,6号線三田線,東京都,35.743414,139.728818,東京都
西府,18184.0,南武線,東日本旅客鉄道,35.671,139.457372,東京都
西新井,58836.0,伊勢崎線,東武鉄道,35.777217,139.790451,東京都
西新井大師西,11172.0,日暮里・舎人ライナー,東京都,35.78155,139.770119,東京都
西新宿,69891.0,4号線丸ノ内線,東京地下鉄,35.694446,139.692573,東京都
西新宿五丁目,20119.0,12号線大江戸線,東京都,35.689613,139.684019,東京都
西日暮里,168512.0,東北線,東日本旅客鉄道,35.73211,139.766788,東京都
西早稲田,32955.0,13号線副都心線,東京地下鉄,35.70739,139.709016,東京都
西武園,3070.0,西武園線,西武鉄道,35.768045,139.448701,東京都
西武新宿,135139.0,新宿線,西武鉄道,35.695335,139.700017,東京都
西武柳沢,14614.0,新宿線,西武鉄道,35.728635,139.552611,東京都
西武立川,10623.0,拝島線,西武鉄道,35.726271,139.370515,東京都
西永福,16262.0,井の頭線,京王電鉄,35.67878,139.635384,東京都
西立川,11858.0,青梅線,東日本旅客鉄道,35.703578,139.393681,東京都
西荻窪,79272.0,中央線,東日本旅客鉄道,35.703777,139.599636,東京都
西葛西,88528.0,5号線東西線,東京地下鉄,35.664424,139.859756,東京都
西調布,15112.0,京王線,京王電鉄,35.657058,139.530088,東京都
西馬込,39302.0,1号線浅草線,東京都,35.587264,139.706327,東京都
西高島平,11687.0,6号線三田線,東京都,35.79199,139.645906,東京都
要町,36047.0,8号線有楽町線,東京地下鉄,35.733137,139.698265,東京都
見沼代親水公園,12259.0,日暮里・舎人ライナー,東京都,35.814602,139.770673,東京都
調布,109110.0,京王線,京王電鉄,35.651864,139.544421,東京都
護国寺,37393.0,8号線有楽町線,東京地下鉄,35.719166,139.727319,東京都
谷保,18140.0,南武線,東日本旅客鉄道,35.681416,139.446734,東京都
谷在家,9863.0,日暮里・舎人ライナー,東京都,35.788771,139.770119,東京都
豊島園,9871.0,豊島線,西武鉄道,35.74194,139.647936,東京都
豊洲,176881.0,8号線有楽町線,東京地下鉄,35.655479,139.795595,東京都
豊田,58778.0,中央線,東日本旅客鉄道,35.6595,139.381489,東京都
豪徳寺,24471.0,小田原線,小田急電鉄,35.653672,139.647523,東京都
赤土小学校前,5055.0,日暮里・舎人ライナー,東京都,35.742943,139.76901,東京都
赤坂,66289.0,9号線千代田線,東京地下鉄,35.67206,139.736404,東京都
赤坂見附,78766.0,3号線銀座線,東京地下鉄,35.676893,139.737321,東京都
赤羽,173036.0,東北線,東日本旅客鉄道,35.77766,139.720957,東京都
赤羽岩淵,82352.0,7号線南北線,東京地下鉄,35.783436,139.721122,東京都
赤羽橋,22271.0,12号線大江戸線,東京都,35.654896,139.744016,東京都
越中島,9614.0,京葉線,東日本旅客鉄道,35.667951,139.792622,東京都
足立小台,3424.0,日暮里・舎人ライナー,東京都,35.754608,139.770398,東京都
辰巳,25402.0,8号線有楽町線,東京地下鉄,35.645593,139.810539,東京都
都庁前,27800.0,12号線大江戸線,東京都,35.690447,139.691519,東京都
都立大学,44353.0,東横線,東急電鉄,35.617815,139.676467,東京都
